taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo	RuleLength	ExtraOptions
waveform	 2	 1	 2	 543.64	 518.03	 30.12	 2.00	 stabilize=yes, prune=no, postStabilize=no	
waveform	 2	 1	 1	 516.71	 488.39	 23.35	 2.00	 stabilize=yes, prune=yes, postStabilize=no	
waveform	 2	 1	 2	 537.49	 514.62	 32.21	 2.00	 stabilize=yes, prune=yes, postStabilize=no	
waveform	 2	 1	 1	 517.10	 482.25	 22.03	 2.00	 stabilize=yes, prune=yes, postStabilize=yes	
waveform	 2	 1	 2	 541.10	 515.78	 29.52	 1.99	 stabilize=yes, prune=yes, postStabilize=yes	
wine	 2	 1	 1	 178.19	 166.51	 16.35	 1.93	 stabilize=no, prune=no, postStabilize=no	
wine	 2	 1	 2	 206.79	 198.94	 17.81	 1.99	 stabilize=no, prune=no, postStabilize=no	
wine	 2	 1	 1	 182.60	 169.06	 16.79	 2.00	 stabilize=yes, prune=no, postStabilize=no	
wine	 2	 1	 2	 210.67	 198.32	 19.15	 2.00	 stabilize=yes, prune=no, postStabilize=no	
wine	 2	 1	 1	 181.67	 171.81	 15.66	 1.89	 stabilize=yes, prune=yes, postStabilize=no	
wine	 2	 1	 2	 209.00	 198.21	 17.45	 1.99	 stabilize=yes, prune=yes, postStabilize=no	
wine	 2	 1	 1	 179.63	 169.43	 17.01	 1.85	 stabilize=yes, prune=yes, postStabilize=yes	
wine	 2	 1	 2	 209.02	 197.75	 18.35	 1.99	 stabilize=yes, prune=yes, postStabilize=yes	
Anastomosis	 2	 2	 1	 6.48	 0.74	 0.84	 1.59	 stabilize=no, prune=no, postStabilize=no	
Anastomosis	 2	 2	 2	 12.59	 1.40	 1.27	 1.93	 stabilize=no, prune=no, postStabilize=no	
Anastomosis	 2	 2	 1	 7.14	 0.88	 0.93	 1.82	 stabilize=yes, prune=no, postStabilize=no	
Anastomosis	 2	 2	 2	 13.34	 1.27	 1.35	 1.95	 stabilize=yes, prune=no, postStabilize=no	
Anastomosis	 2	 2	 1	 5.40	 0.75	 0.89	 1.20	 stabilize=yes, prune=yes, postStabilize=no	
Anastomosis	 2	 2	 2	 10.16	 1.50	 1.34	 1.50	 stabilize=yes, prune=yes, postStabilize=no	
Anastomosis	 2	 2	 1	 5.42	 0.65	 0.78	 1.19	 stabilize=yes, prune=yes, postStabilize=yes	
